0x140B0DA70	EXE2j_blocksub_BlockWorkRefresh
0x140B0DB30	EXE2j_blocksub_BlockCrackSet
0x140B0DDA0	EXE2j_blocksub_BlockOutSet
0x140B0DF80	EXE2j_blocksub_BlockOutSet2
0x140B0E1D0	EXE2j_blocksub_BlockOutSet3
0x140B0E3D0	EXE2j_blocksub_BlockPoisonSet
0x140B0E570	EXE2j_blocksub_BlockFlash
0x140B0E6A0	EXE2j_blocksub_BlockTypeChange
0x140B0E840	EXE2j_blocksub_BlockPlEmChange
0x140B0EA30	EXE2j_blocksub_BlockPlEmTimerSet
0x140B0EB20	EXE2j_blocksub_BlockShiftGet
0x140B0EC50	EXE2j_blocksub_BlockShiftSet
0x140B0ED90	EXE2j_blocksub_BlockTransSet
0x140957EB0	EXE2j_blocksub1_RandomMoveBlockGet
0x140958590	EXE2j_blocksub1_RandomMoveClossBlockGet
0x140958CA0	EXE2j_blocksub1_RandomBlockGet
0x140959320	EXE2j_blocksub1_NoPlLineBlockGet
0x1409593D0	EXE2j_blocksub1_RandomMoveBlockGet2
0x140959B30	EXE2j_blocksub1_PlLineBlockGet
0x14095A2B0	EXE2j_blocksub1_CalcFrontOtherBlock
0x14095A9B0	EXE2j_blocksub1_CalcFrontOtherBlock2
0x14095B130	EXE2j_blocksub1_CheckAllBlockTop
0x14095B800	EXE2j_blocksub1_CheckEmLineHead
0x14095BD80	EXE2j_blocksub1_CheckAllBlockLast
0x14095C3A0	EXE2j_blocksub1_CheckLineLast
0x14095C8E0	EXE2j_blocksub1_CheckAllLineHead
0x14095CF50	EXE2j_blocksub1_CheckLineHead
0x14095D510	EXE2j_blocksub1_CheckLine
0x14095DAA0	EXE2j_blocksub1_CountBombSetPos
0x14095E600	EXE2j_blocksub1_CheckCoverEm
0x14095EEB0	EXE2j_blocksub1_BlockBackEndGet
0x14095EF50	EXE2j_blocksub1_BlockRightEndAllGet
0x14095FBE0	EXE2j_blocksub1_BlockLeftEndAllGet
0x1409608A0	EXE2j_blocksub1_BlockBackEndGet2
0x140960940	EXE2j_blocksub1_BlockLeftEndAllGet2
0x140960DA0	EXE2j_blocksub1_BlockLeftEndLineGet2
0x1409612C0	EXE2j_blocksub1_BlockRightEndAllGet2
0x140961720	EXE2j_blocksub1_BlockRightEndLineGet2
0x140961BE0	EXE2j_blocksub1_BlockLineBackEndGet
0x140961CE0	EXE2j_blocksub1_BlockMoveCheck
0x140961E30	EXE2j_blocksub1_BlockAllCheckY
0x140962160	EXE2j_blocksub1_CodeToBlock
0x140962260	EXE2j_blocksub1_BlockToCode
0x140962320	EXE2j_blocksub1_BlockExistCheck
0x140962450	EXE2j_blocksub1_BlockTypeNumGet
0x140853770	EXE2j_blocksubw_BlockWorkRefreshAllWram
0x1408539A0	EXE2j_blocksubw_BlockWorkRefreshWram
0x140853F70	EXE2j_blocksubw_BattleHitStatusCheck
0x1408542C0	EXE2j_blocksubw_BattleHitBuffAddSubWram
0x140854630	EXE2j_blocksubw_BattleHitBuffDelSubWram
0x140854AB0	EXE2j_blocksubw_BlockChangeAttrCheckWram
0x140855080	EXE2j_blocksubw_BlockStatusSetWram
0x140855240	EXE2j_blocksubw_BlockStatusGetWram
0x1408554D0	EXE2j_blocksubw_BlockStatusOnWram
0x1408556A0	EXE2j_blocksubw_BattleHitCheckBlock_subWram
0x140855AB0	EXE2j_blocksubw_inv_attr_checkWram
0x140855C20	EXE2j_blocksubw_shadow_attr_checkWram
0x140855D90	EXE2j_blocksubw_BattleHitAllSetWram
0x1409BB8F0	EXE2j_btlev00_BattleEvent00Move
0x1409BBA40	EXE2j_btlev00_event00_init
0x1409BBC80	EXE2j_btlev00_event00_move_00
0x1409BC1F0	EXE2j_btlev00_event00_move_01
0x1409BC3C0	EXE2j_btlev00_event00_exit
0x140AF7F00	EXE2j_btlev01_BattleEvent01Move
0x140AF7FF0	EXE2j_btlev01_btlev01_init
0x140AF82D0	EXE2j_btlev01_btlev01_move
0x140AF83C0	EXE2j_btlev01_btlev01_move00
0x140AF85B0	EXE2j_btlev01_btlev01_move01
0x140AF87A0	EXE2j_btlev01_btlev01_move02
0x140AF88D0	EXE2j_btlev01_btlev01_move03
0x140AF89C0	EXE2j_btlev01_btlev01_move04
0x140AF8B90	EXE2j_btlev01_btlev01_exit
0x140AF8DF0	EXE2j_btlev01_btlev01_exit2
0x1405346C0	EXE2j_btlev02_BattleEvent02Move
0x1405347B0	EXE2j_btlev02_btlev02_init
0x1405349E0	EXE2j_btlev02_btlev02_move
