0x1411C0D60	EXE3w_blocksub1_BlockTypeNumGet
0x1411C12A0	EXE3w_blocksub1_BlockTypeExceptNumGet
0x141045020	EXE3w_blocksubw_BlockWorkRefreshAllWram
0x141045250	EXE3w_blocksubw_BlockWorkRefreshWram
0x141045820	EXE3w_blocksubw_BattleHitStatusCheck
0x141045B70	EXE3w_blocksubw_BattleHitBuffAddSubWram
0x141045EE0	EXE3w_blocksubw_BattleHitBuffDelSubWram
0x141046360	EXE3w_blocksubw_BlockChangeAttrCheckWram
0x1410469C0	EXE3w_blocksubw_BlockStatusSetWram
0x141046B80	EXE3w_blocksubw_BlockStatusGetWram
0x141046E10	EXE3w_blocksubw_BlockStatusOnWram
0x141046FE0	EXE3w_blocksubw_BattleHitCheckBlock_subWram
0x1410476A0	EXE3w_blocksubw_inv_attr_checkWram
0x141047830	EXE3w_blocksubw_shadow_attr_checkWram
0x1410479C0	EXE3w_blocksubw_under_attr_checkWram
0x141047B50	EXE3w_blocksubw_BattleHitAllSetWram
0x1414602E0	EXE3w_bscomm_BsCommonPalsy
0x1414603D0	EXE3w_bscomm_BsCommonPalsy_00
0x141460650	EXE3w_bscomm_BsCommonPalsy_01
0x141460930	EXE3w_bscomm_BsCommonIvy
0x141460A20	EXE3w_bscomm_BsCommonIvy_00
0x141460CA0	EXE3w_bscomm_BsCommonIvy_01
0x141460F80	EXE3w_bscomm_BsCommonPush
0x141461070	EXE3w_bscomm_BsCommonPush_00
0x141461480	EXE3w_bscomm_BsCommonPush_01
0x1414619A0	EXE3w_bscomm_BsCommonPush_02
0x141461B20	EXE3w_bscomm_BsCommonStagger
0x141461C10	EXE3w_bscomm_BsCommonStagger_00
0x141461E90	EXE3w_bscomm_BsCommonStagger_01
0x141462010	EXE3w_bscomm_BsV3DeleteFlagOn
0x1414543D0	EXE3w_btlbug_BattleBugCheck
0x141454540	EXE3w_btlbug_CustomHpDownBugCheck
0x141454800	EXE3w_btlbug_custom_hp_down_sub
0x141454A00	EXE3w_btlbug_NormalPanelChangeBugCheck
0x141454EC0	EXE3w_btlbug_panel_change_sub
0x141455670	EXE3w_btlbug_CustomGaugeSpeedCheck
0x1414559E0	EXE3w_btlbug_CardOpenNumBugCheck
0x141247080	EXE3w_btlev00_BattleEvent00Move
0x1412471D0	EXE3w_btlev00_event00_init
0x141247410	EXE3w_btlev00_event00_move_00
0x141247980	EXE3w_btlev00_event00_move_01
0x141247B50	EXE3w_btlev00_event00_exit
0x1414276D0	EXE3w_btlev01_BattleEvent01Move
0x1414277C0	EXE3w_btlev01_btlev01_init
0x141427AA0	EXE3w_btlev01_btlev01_move
0x141427B90	EXE3w_btlev01_btlev01_move00
0x141427D80	EXE3w_btlev01_btlev01_move01
0x141427F70	EXE3w_btlev01_btlev01_move02
0x1414280A0	EXE3w_btlev01_btlev01_move03
0x141428190	EXE3w_btlev01_btlev01_move04
0x141428360	EXE3w_btlev01_btlev01_exit
0x1414285C0	EXE3w_btlev01_btlev01_exit2
0x140C19270	EXE3w_btlev02_BattleEvent02Move
0x140C19360	EXE3w_btlev02_btlev02_init
0x140C19590	EXE3w_btlev02_btlev02_move
0x140C19680	EXE3w_btlev02_btlev02_move00
