0x140B0EE90	EXE2j_blocksub_BlockWorkRefresh
0x140B0EF50	EXE2j_blocksub_BlockCrackSet
0x140B0F1C0	EXE2j_blocksub_BlockOutSet
0x140B0F3A0	EXE2j_blocksub_BlockOutSet2
0x140B0F5F0	EXE2j_blocksub_BlockOutSet3
0x140B0F7F0	EXE2j_blocksub_BlockPoisonSet
0x140B0F990	EXE2j_blocksub_BlockFlash
0x140B0FAC0	EXE2j_blocksub_BlockTypeChange
0x140B0FC60	EXE2j_blocksub_BlockPlEmChange
0x140B0FE50	EXE2j_blocksub_BlockPlEmTimerSet
0x140B0FF40	EXE2j_blocksub_BlockShiftGet
0x140B10070	EXE2j_blocksub_BlockShiftSet
0x140B101B0	EXE2j_blocksub_BlockTransSet
0x1409592D0	EXE2j_blocksub1_RandomMoveBlockGet
0x1409599B0	EXE2j_blocksub1_RandomMoveClossBlockGet
0x14095A0C0	EXE2j_blocksub1_RandomBlockGet
0x14095A740	EXE2j_blocksub1_NoPlLineBlockGet
0x14095A7F0	EXE2j_blocksub1_RandomMoveBlockGet2
0x14095AF50	EXE2j_blocksub1_PlLineBlockGet
0x14095B6D0	EXE2j_blocksub1_CalcFrontOtherBlock
0x14095BDD0	EXE2j_blocksub1_CalcFrontOtherBlock2
0x14095C550	EXE2j_blocksub1_CheckAllBlockTop
0x14095CC20	EXE2j_blocksub1_CheckEmLineHead
0x14095D1A0	EXE2j_blocksub1_CheckAllBlockLast
0x14095D7C0	EXE2j_blocksub1_CheckLineLast
0x14095DD00	EXE2j_blocksub1_CheckAllLineHead
0x14095E370	EXE2j_blocksub1_CheckLineHead
0x14095E930	EXE2j_blocksub1_CheckLine
0x14095EEC0	EXE2j_blocksub1_CountBombSetPos
0x14095FA20	EXE2j_blocksub1_CheckCoverEm
0x1409602D0	EXE2j_blocksub1_BlockBackEndGet
0x140960370	EXE2j_blocksub1_BlockRightEndAllGet
0x140961000	EXE2j_blocksub1_BlockLeftEndAllGet
0x140961CC0	EXE2j_blocksub1_BlockBackEndGet2
0x140961D60	EXE2j_blocksub1_BlockLeftEndAllGet2
0x1409621C0	EXE2j_blocksub1_BlockLeftEndLineGet2
0x1409626E0	EXE2j_blocksub1_BlockRightEndAllGet2
0x140962B40	EXE2j_blocksub1_BlockRightEndLineGet2
0x140963000	EXE2j_blocksub1_BlockLineBackEndGet
0x140963100	EXE2j_blocksub1_BlockMoveCheck
0x140963250	EXE2j_blocksub1_BlockAllCheckY
0x140963580	EXE2j_blocksub1_CodeToBlock
0x140963680	EXE2j_blocksub1_BlockToCode
0x140963740	EXE2j_blocksub1_BlockExistCheck
0x140963870	EXE2j_blocksub1_BlockTypeNumGet
0x140854B90	EXE2j_blocksubw_BlockWorkRefreshAllWram
0x140854DC0	EXE2j_blocksubw_BlockWorkRefreshWram
0x140855390	EXE2j_blocksubw_BattleHitStatusCheck
0x1408556E0	EXE2j_blocksubw_BattleHitBuffAddSubWram
0x140855A50	EXE2j_blocksubw_BattleHitBuffDelSubWram
0x140855ED0	EXE2j_blocksubw_BlockChangeAttrCheckWram
0x1408564A0	EXE2j_blocksubw_BlockStatusSetWram
0x140856660	EXE2j_blocksubw_BlockStatusGetWram
0x1408568F0	EXE2j_blocksubw_BlockStatusOnWram
0x140856AC0	EXE2j_blocksubw_BattleHitCheckBlock_subWram
0x140856ED0	EXE2j_blocksubw_inv_attr_checkWram
0x140857040	EXE2j_blocksubw_shadow_attr_checkWram
0x1408571B0	EXE2j_blocksubw_BattleHitAllSetWram
