0x141448E70	EXE3w_blocksub_BlockTransSet
0x1411B6660	EXE3w_blocksub1_RandomMoveBlockGet
0x1411B6D40	EXE3w_blocksub1_RandomMoveUpDownBlockGet
0x1411B6E20	EXE3w_blocksub1_RandomMoveUpDownLeftBlockGet
0x1411B6F00	EXE3w_blocksub1_RandomMoveCrossBlockGet
0x1411B6FE0	EXE3w_blocksub1_RandomMoveVicinityBlockGet
0x1411B7730	EXE3w_blocksub1_RandomMoveRotCrossBlockGet
0x1411B80D0	EXE3w_blocksub1_RandomBlockGet
0x1411B8750	EXE3w_blocksub1_NoPlLineBlockGet
0x1411B8830	EXE3w_blocksub1_RandomMoveBlockGet2
0x1411B8FE0	EXE3w_blocksub1_RandomMoveBlockGet3
0x1411B9720	EXE3w_blocksub1_PlLineBlockGet
0x1411B9EA0	EXE3w_blocksub1_CalcFrontOtherBlock
0x1411BA5A0	EXE3w_blocksub1_CalcFrontOtherBlock2
0x1411BAD10	EXE3w_blocksub1_CheckAllBlockTop
0x1411BB3E0	EXE3w_blocksub1_CheckEmLineHead
0x1411BB960	EXE3w_blocksub1_CheckAllBlockLast
0x1411BBF80	EXE3w_blocksub1_CheckLineLast
0x1411BC4C0	EXE3w_blocksub1_CheckAllLineHead
0x1411BCB30	EXE3w_blocksub1_CheckLineHead
0x1411BD150	EXE3w_blocksub1_CheckLine
0x1411BD7D0	EXE3w_blocksub1_CountBombSetPos
0x1411BE2E0	EXE3w_blocksub1_CheckCoverEm
0x1411BEB90	EXE3w_blocksub1_BlockBackEndGet
0x1411BEC30	EXE3w_blocksub1_BlockRightEndAllGet
0x1411BF8C0	EXE3w_blocksub1_BlockLeftEndAllGet
0x1411C0580	EXE3w_blocksub1_BlockBackEndGet2
0x1411C0620	EXE3w_blocksub1_BlockLeftEndAllGet2
0x1411C0A80	EXE3w_blocksub1_BlockLeftEndLineGet2
0x1411C0FA0	EXE3w_blocksub1_BlockRightEndAllGet2
0x1411C1400	EXE3w_blocksub1_BlockRightEndLineGet2
0x1411C18C0	EXE3w_blocksub1_BlockLineBackEndGet
0x1411C19C0	EXE3w_blocksub1_BlockMoveCheck
0x1411C1B10	EXE3w_blocksub1_BlockAllCheckY
0x1411C1E40	EXE3w_blocksub1_CodeToBlock
0x1411C1F90	EXE3w_blocksub1_BlockToCode
0x1411C2050	EXE3w_blocksub1_BlockExistCheck
0x1411C2180	EXE3w_blocksub1_BlockTypeNumGet
0x1411C26C0	EXE3w_blocksub1_BlockTypeExceptNumGet
0x141046440	EXE3w_blocksubw_BlockWorkRefreshAllWram
0x141046670	EXE3w_blocksubw_BlockWorkRefreshWram
0x141046C40	EXE3w_blocksubw_BattleHitStatusCheck
0x141046F90	EXE3w_blocksubw_BattleHitBuffAddSubWram
0x141047300	EXE3w_blocksubw_BattleHitBuffDelSubWram
0x141047780	EXE3w_blocksubw_BlockChangeAttrCheckWram
0x141047DE0	EXE3w_blocksubw_BlockStatusSetWram
0x141047FA0	EXE3w_blocksubw_BlockStatusGetWram
0x141048230	EXE3w_blocksubw_BlockStatusOnWram
0x141048400	EXE3w_blocksubw_BattleHitCheckBlock_subWram
0x141048AC0	EXE3w_blocksubw_inv_attr_checkWram
0x141048C50	EXE3w_blocksubw_shadow_attr_checkWram
0x141048DE0	EXE3w_blocksubw_under_attr_checkWram
0x141048F70	EXE3w_blocksubw_BattleHitAllSetWram
0x141461700	EXE3w_bscomm_BsCommonPalsy
0x1414617F0	EXE3w_bscomm_BsCommonPalsy_00
0x141461A70	EXE3w_bscomm_BsCommonPalsy_01
0x141461D50	EXE3w_bscomm_BsCommonIvy
0x141461E40	EXE3w_bscomm_BsCommonIvy_00
0x1414620C0	EXE3w_bscomm_BsCommonIvy_01
0x1414623A0	EXE3w_bscomm_BsCommonPush
0x141462490	EXE3w_bscomm_BsCommonPush_00
0x1414628A0	EXE3w_bscomm_BsCommonPush_01
0x141462DC0	EXE3w_bscomm_BsCommonPush_02
0x141462F40	EXE3w_bscomm_BsCommonStagger
0x141463030	EXE3w_bscomm_BsCommonStagger_00
0x1414632B0	EXE3w_bscomm_BsCommonStagger_01
0x141463430	EXE3w_bscomm_BsV3DeleteFlagOn
0x1414557F0	EXE3w_btlbug_BattleBugCheck
0x141455960	EXE3w_btlbug_CustomHpDownBugCheck
0x141455C20	EXE3w_btlbug_custom_hp_down_sub
0x141455E20	EXE3w_btlbug_NormalPanelChangeBugCheck
0x1414562E0	EXE3w_btlbug_panel_change_sub
0x141456A90	EXE3w_btlbug_CustomGaugeSpeedCheck
0x141456E00	EXE3w_btlbug_CardOpenNumBugCheck
0x1412484A0	EXE3w_btlev00_BattleEvent00Move
0x1412485F0	EXE3w_btlev00_event00_init
0x141248830	EXE3w_btlev00_event00_move_00
0x141248DA0	EXE3w_btlev00_event00_move_01
0x141248F70	EXE3w_btlev00_event00_exit
0x141428AF0	EXE3w_btlev01_BattleEvent01Move
0x141428BE0	EXE3w_btlev01_btlev01_init
0x141428EC0	EXE3w_btlev01_btlev01_move
0x141428FB0	EXE3w_btlev01_btlev01_move00
0x1414291A0	EXE3w_btlev01_btlev01_move01
0x141429390	EXE3w_btlev01_btlev01_move02
0x1414294C0	EXE3w_btlev01_btlev01_move03
0x1414295B0	EXE3w_btlev01_btlev01_move04
0x141429780	EXE3w_btlev01_btlev01_exit
0x1414299E0	EXE3w_btlev01_btlev01_exit2
0x140C1A690	EXE3w_btlev02_BattleEvent02Move
