0x1403C9460	EXE4r_bgefc0a_bgefc0a_main00
0x1403C99E0	EXE4r_bgefc0a_bgefc0a_main01
0x1403C9E70	EXE4r_bgefc0a_bgefc0a_disp_sub
0x1404FFEE0	EXE4r_bgefc0b_BgEfc0bMove
0x140500130	EXE4r_bgefc0b_BgEfc0bStop
0x140500460	EXE4r_bgefc0b_bgefc0b_init
0x140500890	EXE4r_bgefc0b_bgefc0b_main
0x140500C40	EXE4r_bgefc0b_bgefc0b_disp_sub
0x140500FE0	EXE4r_bgefc0b_bgefc0b_disp_sub2
0x1406B6060	EXE4r_bgefc0c_BgEfc0cMove
0x1406B6370	EXE4r_bgefc0c_BgEfc0cStop
0x1406B66A0	EXE4r_bgefc0c_bgefc0c_init
0x1406B6A00	EXE4r_bgefc0c_bgefc0c_main
0x14057A100	EXE4r_bgefc0d_BgEfc0dMove
0x14057A350	EXE4r_bgefc0d_BgEfc0dStop
0x14057A680	EXE4r_bgefc0d_bgefc0d_init
0x14057AA10	EXE4r_bgefc0d_bgefc0d_entry
0x14057AE50	EXE4r_bgefc0d_bgefc0d_main
0x14057B270	EXE4r_bgefc0d_bgefc0d_exit
0x14057B470	EXE4r_bgefc0d_bgefc0d_disp_sub
0x14057B890	EXE4r_bgefc0d_bgefc0d_se_call
0x14071EC00	EXE4r_bgefc_sub_BgEfcPrint2
0x14071EDF0	EXE4r_bgefc_sub_BgEfcPrint
0x140747B50	EXE4r_bgtrans_BgCharInit
0x140748270	EXE4r_bgtrans_BgCharInitBattle
0x140748330	EXE4r_bgtrans_BgCharSet
0x140748B30	EXE4r_bgtrans_BgScrollCharUncomp
0x140748FC0	EXE4r_bgtrans_BgScrollCharSet
0x140749520	EXE4r_bgtrans_BgCharMove
0x140749D00	EXE4r_bgtrans_local_GetBgScrnDataField
0x14074A0C0	EXE4r_bgtrans_local_PutBgScrnDataField
0x14074A4D0	EXE4r_bgtrans_local_PutBgScrnDataBattle
0x14074A500	EXE4r_bgtrans_local_PutBgScrnDataField_2
0x14074A740	EXE4r_bgtrans_local_PutBgScrnDataField_3
0x14074A980	EXE4r_bgtrans_local_BgScrnDataTransXsub
0x14074B3D0	EXE4r_bgtrans_local_BgScrnDataTransXadd
0x14074BE10	EXE4r_bgtrans_local_BgScrnDataTransYsub
0x14074C860	EXE4r_bgtrans_local_BgScrnDataTransYadd
0x1403A2D10	EXE4r_bgtrans2_local_BgScrnInit
0x1403A3910	EXE4r_bgtrans2_local_BgScrnInitAll
0x1403A39F0	EXE4r_bgtrans2_local_BgScrnInitAll_2
0x1403A3AD0	EXE4r_bgtrans2_local_BgScrnInitAll_3
0x1405F0270	EXE4r_bgwram_local_BgPrintXYLimitWram
0x1405F0760	EXE4r_bgwram_local_BgPrintXYLimitWramByte
0x1405F0C50	EXE4r_bgwram_local_BgClearXYLimitWram
0x1405F10F0	EXE4r_bgwram_local_BgClearXYLimitWramByte
0x1405F1570	EXE4r_bgwram_local_ColFadeTransWram
0x1405F1940	EXE4r_bgwram_add_blend
0x1405F1B40	EXE4r_bgwram_sub_blend
0x1405F1D70	EXE4r_bgwram_local_ColFadeTransWram2
0x1405F2120	EXE4r_bgwram_add_blend2
0x1405F2840	EXE4r_bgwram_sub_blend2
0x14029E1B0	EXE4r_bg_sub_BgPrint
0x14029E380	EXE4r_bg_sub_BgPrintXYLimit
0x14029E500	EXE4r_bg_sub_BgPrintXYLimitByte
0x14029E680	EXE4r_bg_sub_BgClearXYLimit
0x14029E800	EXE4r_bg_sub_BgClearXYLimitByte
0x14029E980	EXE4r_bg_sub_BgPrintXLoop
0x14029EE30	EXE4r_bg_sub_BgPrintYLoop
0x140774180	EXE4r_bg_sub2_BgScrollProcSet
0x140774330	EXE4r_bg_sub2_BgScrollProcReset
0x1407744A0	EXE4r_bg_sub2_BgScrollProc
0x140774570	EXE4r_bg_sub2_BgScrollProcVBlank
0x140774640	EXE4r_bg_sub2_Type00VBlank
0x140774680	EXE4r_bg_sub2_Type01VBlank
0x140774850	EXE4r_bg_sub2_Type01VBlank2
0x140774A20	EXE4r_bg_sub2_Type02VBlank
0x140774B50	EXE4r_bg_sub2_Type02VBlank2
0x140774C80	EXE4r_bg_sub2_Type03VBlank
0x140774DB0	EXE4r_bg_sub2_Type03VBlank2
0x140774EE0	EXE4r_bg_sub2_Type04VBlank
0x140775010	EXE4r_bg_sub2_Type05VBlank
0x140775140	EXE4r_bg_sub2_Type05VBlank2
0x140775270	EXE4r_bg_sub2_Type06VBlank
0x140775560	EXE4r_bg_sub2_TypeXXDummy
0x140584360	EXE4r_block_BlockTransInit
0x1405849E0	EXE4r_block_block_work_init
0x140584FF0	EXE4r_block_block_work_clear
0x140585310	EXE4r_block_BlockMove
0x140585880	EXE4r_block_BlockTrans
0x1405868A0	EXE4r_block_BlockTransSub
0x140586D80	EXE4r_block_BlockTransSubFlash
0x1405870D0	EXE4r_block_BlockTransSubEdge
