0x1412A56A0	EXE5p_bgtrans_BgCharSet
0x1412A5EA0	EXE5p_bgtrans_BgScrollCharSet
0x1412A6250	EXE5p_bgtrans_BgCharMove
0x1412A6A30	EXE5p_bgtrans_local_GetBgScrnDataField
0x1412A6DF0	EXE5p_bgtrans_local_PutBgScrnDataField
0x1412A7200	EXE5p_bgtrans_local_PutBgScrnDataBattle
0x1412A7230	EXE5p_bgtrans_local_PutBgScrnDataField_2
0x1412A7470	EXE5p_bgtrans_local_PutBgScrnDataField_3
0x1412A76B0	EXE5p_bgtrans_local_BgScrnDataTransXsub
0x1412A8100	EXE5p_bgtrans_local_BgScrnDataTransXadd
0x1412A8B40	EXE5p_bgtrans_local_BgScrnDataTransYsub
0x1412A9590	EXE5p_bgtrans_local_BgScrnDataTransYadd
0x140E36B70	EXE5p_bgtrans2_local_BgScrnInit
0x140E37770	EXE5p_bgtrans2_local_BgScrnInitAll
0x140E37A50	EXE5p_bgtrans2_local_BgScrnInitAll_2_sub
0x141126E40	EXE5p_bgwram_local_BgPrintXYLimitWram
0x141127330	EXE5p_bgwram_local_BgPrintXYLimitWramByte
0x141127820	EXE5p_bgwram_local_BgClearXYLimitWram
0x141127CC0	EXE5p_bgwram_local_BgClearXYLimitWramByte
0x141128140	EXE5p_bgwram_local_ColFadeTransWram
0x141128510	EXE5p_bgwram_add_blend
0x141128710	EXE5p_bgwram_sub_blend
0x141128940	EXE5p_bgwram_local_ColFadeTransWram2
0x141128CF0	EXE5p_bgwram_add_blend2
0x141129410	EXE5p_bgwram_sub_blend2
0x1410AAC70	EXE5p_block_BlockTransInit
0x1410AB050	EXE5p_block_BlockMove
0x1410AB5D0	EXE5p_block_BlockTransSub
0x1410ABC30	EXE5p_block_BlockTransSubFlash
0x1410AC100	EXE5p_block_BlockTransSubEdge
0x1410AC620	EXE5p_block_BlockTransSubNoEdge
0x1410ACAD0	EXE5p_block_BlockColorTrans
0x1410AD0D0	EXE5p_block_block_check_sub
0x1410ADB00	EXE5p_block_BattleBlockInit
0x1410AE870	EXE5p_block_BlockTrans
0x1410AF170	EXE5p_block_SetStealBlockCheckTable
0x1410AFB00	EXE5p_block__get_field_tbl_adrs
0x1410AFBB0	EXE5p_block__get_block_work_adrs
0x1410AFCD0	EXE5p_block__steal_block_exist_check
0x1410B05A0	EXE5p_block__steal_block_check
0x1410B1950	EXE5p_block__steal_block_return
0x1410B1E90	EXE5p_block__set_steal_block_check_data
0x1410B23B0	EXE5p_block__check_area_return
0x1410B2B60	EXE5p_block__check_em_exist
0x1410B30F0	EXE5p_block__set_plem_change_request
0x1410B3A50	EXE5p_block__get_block_plem_work_adrs
0x140EF7500	EXE5p_blocksubw_BlockWorkRefreshAllWram
0x140EF78F0	EXE5p_blocksubw_BlockWorkRefreshWram
0x140EF7C50	EXE5p_blocksubw_BlockAdrsGetWram
0x140EF7EE0	EXE5p_blocksubw_BattleHitStatusCheckWram
0x140E02100	EXE5p_block_sub_BlockWorkInit
0x140E021A0	EXE5p_block_sub_BlockStatusGet
0x140E02270	EXE5p_block_sub_BlockAdrsGet
0x140E02330	EXE5p_block_sub_BlockWorkRefreshAll
0x140E023F0	EXE5p_block_sub_BlockWorkRefresh
0x140E024B0	EXE5p_block_sub_BlockCrackSet
0x140E02750	EXE5p_block_sub_BlockCrackSet2
0x140E029F0	EXE5p_block_sub_BlockOutSet
0x140E02C10	EXE5p_block_sub_BlockOutSet2
0x140E02EE0	EXE5p_block_sub_BlockOutSet3
0x140E03110	EXE5p_block_sub_BlockOutSet4
0x140E03340	EXE5p_block_sub_BlockOutSet5
0x140E03570	EXE5p_block_sub_BlockPoisonSet
0x140E03730	EXE5p_block_sub_BlockFlash
0x140E038B0	EXE5p_block_sub_BlockTypeChange
0x140E03B60	EXE5p_block_sub_BlockPlEmChange
0x140E03D70	EXE5p_block_sub_BlockPlEmTimerSet
0x140E03E40	EXE5p_block_sub_BlockPlEmTimerReset
0x140E03F60	EXE5p_block_sub_BlockTransSet
0x140E04140	EXE5p_block_sub_BlockInScreenCheck
0x140E04210	EXE5p_block_sub_BlockInScreenCheckSub
0x140E04380	EXE5p_block_sub_BlockMoveCheck
0x140E04550	EXE5p_block_sub_BlockExistCheck
0x140E04620	EXE5p_block_sub_BlockExistCheckSub
0x140E04720	EXE5p_block_sub_HitBlockFlash
0x140E04830	EXE5p_block_sub_HitBlockFlashSub
0x140E04D80	EXE5p_block_sub_BlockTypeNumGet
0x140E052D0	EXE5p_block_sub_BlockTypeNumGet2
0x140E059E0	EXE5p_block_sub_BlockTransOff
0x140E05AD0	EXE5p_block_sub_BlockTransOn
0x140C77F60	EXE5p_block_sub1_RandomMoveBlockGet
0x140C786E0	EXE5p_block_sub1_RandomMoveBlockGet2
0x140C78E10	EXE5p_block_sub1_BlockCodeGetBlockX_noY_Auto
0x140C791E0	EXE5p_block_sub1_BlockCodeGetBlockX_noY
0x140C797C0	EXE5p_block_sub1_BlockCodeGetNoBlockX
0x140C79EB0	EXE5p_block_sub1_BlockCodeGetNoBlockY
0x140C7A5C0	EXE5p_block_sub1_BlockCodeGetBlockX
0x140C7AD10	EXE5p_block_sub1_BlockCodeGetBlockY
0x140C7B450	EXE5p_block_sub1_GetPlBlockY
0x140C7B670	EXE5p_block_sub1_GetPlBlockXY
0x140C7B7F0	EXE5p_block_sub1_CheckLineHeadBlock
0x140C7BF20	EXE5p_block_sub1_CheckLineHeadBlockSub
0x140C7C380	EXE5p_block_sub1_CheckLineHeadBlockSub2
0x140C7C8A0	EXE5p_block_sub1_CheckColmunHeadBlockSub
0x140C7CD00	EXE5p_block_sub1_CheckLineFarBlockSub
0x140C7D2C0	EXE5p_block_sub1_CheckColmunFarBlockSub
0x140C7D870	EXE5p_block_sub1_GetHeadBlockX
0x140C7DF20	EXE5p_block_sub1_CheckForwordBlock
0x140C7E5E0	EXE5p_block_sub1_CheckForwordBlock2
0x140C7EC30	EXE5p_block_sub1_CheckForwordBlock3
0x140C7F300	EXE5p_block_sub1_OffsetTableBlockGet
0x1412F1B10	EXE5p_block_sub2_GetTargetBlockXY
0x1412F1C50	EXE5p_block_sub2_GetPanelStealBlockXY
0x1412F1D40	EXE5p_block_sub2_GetPanelStealBlockXYSub
0x1412F20F0	EXE5p_block_sub2_panel_steal_check_start_x_get
0x1412F24C0	EXE5p_block_sub2_GetAreaStealBlockX
0x1412F2830	EXE5p_block_sub2__area_steal_check_start_x_get
0x1412F2D50	EXE5p_block_sub2_AnotherBlockExistCheck
0x1412F3310	EXE5p_block_sub2_StealBlockCheck
0x1412F34C0	EXE5p_block_sub2_StealBlockEnableCheck
0x1412F3870	EXE5p_block_sub2_StealBlockEnableCheckSub
0x1412F4110	EXE5p_block_sub2_steal_block_check
0x1412F4740	EXE5p_block_sub2_BlockXPlEmCheck
0x140F50540	EXE5p_bombe_BombeInit
0x140F508E0	EXE5p_bombe_BombeProcStop
0x140F50BF0	EXE5p_bombe_BombeProcExec
0x140F50F00	EXE5p_bombe_BombeDispOn
0x140F51210	EXE5p_bombe_BombeDispOff
0x140F51520	EXE5p_bombe_BombeDamageSet
0x140F51850	EXE5p_bombe_BombeRecSet
0x140F51B60	EXE5p_bombe_BombeWarpNoSet
0x140F51E20	EXE5p_bombe_BombeDamageCheck
0x140F520E0	EXE5p_bombe_BombeMutekiSet
0x140F523B0	EXE5p_bombe_BombeMutekiCheck
0x140F52670	EXE5p_bombe_BombeDisp
0x140F52A80	EXE5p_bombe_proc_00
0x140F533B0	EXE5p_bombe_proc_01
0x140F537A0	EXE5p_bombe_BombeDemoExec
0x140F53B90	EXE5p_bombe_bombe_disp_check
0x140F53EA0	EXE5p_bombe_bombe_rec_check
0x1410F5D70	EXE5p_boss_BossMove
0x1410F5E50	EXE5p_boss_boss_move
0x1410F60C0	EXE5p_boss_BossOjamaCheck
0x1410F65C0	EXE5p_boss__dummy_func
0x140FE6E00	EXE5p_bs00act_Bs00ActCheck
0x140FE6FC0	EXE5p_bs00act_bs00_act_main
0x140FE7130	EXE5p_bs00act_bs00_act_chip
0x140FE7210	EXE5p_bs00act_Bs00Proc
0x140EFA920	EXE5p_bs01act_Bs01ActCheck
0x140EFAA70	EXE5p_bs01act_bs01_act_main
0x140EFB3F0	EXE5p_bs01act_bs01_act_shift_wait
0x140EFB5F0	EXE5p_bs01act_bs01_act_shield_wait
0x140EFBAA0	EXE5p_bs01act_bs01_act_surprize_sword
0x140EFBD80	EXE5p_bs01act_bs01_act_combination_check_shadow
0x140EFC0A0	EXE5p_bs01act_bs01_act_ds_common
0x140EFC190	EXE5p_bs01act_bs01_act_dark_edge_shift
0x140EFC440	EXE5p_bs01act_bs01_act_dark_edge
0x140EFC600	EXE5p_bs01act_TargetFixedInvCheck
0x140EFC740	EXE5p_bs01act_Bs01Proc
0x140EFC7E0	EXE5p_bs01act_Bs01ShiftPosCheck
0x140EFC880	EXE5p_bs01act_Bs01FighterSwordShiftPosCheck
0x140EFC950	EXE5p_bs01act_Bs01FighterSwordShiftPosCheckNormal
0x140EFCC00	EXE5p_bs01act_Bs01FighterSwordShiftPosCheckBlindConf
0x140EFCF60	EXE5p_bs01act_Bs01InitProc
0x140EFD170	EXE5p_bs01act__bs01_sword_kind_check
0x140EFD430	EXE5p_bs01act__bs01_conbination_num_check
0x140EFD5B0	EXE5p_bs01act__bs01_surprize_sword_exec_check
0x140EFD730	EXE5p_bs01act__bs01_area_steal_check
0x140EFD9D0	EXE5p_bs01act__bs01_area_steal_exec_check
0x140EFDB10	EXE5p_bs01act_bs01_sword_col_set
0x141346EB0	EXE5p_bs01atk_Bs01AtkShift
0x141346FA0	EXE5p_bs01atk_bs01_shift_00
0x141347280	EXE5p_bs01atk_bs01_shift_01
0x1413474F0	EXE5p_bs01atk_bs01_shift_02
0x1413476B0	EXE5p_bs01atk_bs01_shift_03
0x1413477C0	EXE5p_bs01atk_Bs01AtkSurprizeSword
0x1413478B0	EXE5p_bs01atk_bs01_surprize_sword_00
0x141347D00	EXE5p_bs01atk_bs01_surprize_sword_01
0x141348090	EXE5p_bs01atk_bs01_surprize_sword_02
0x141348290	EXE5p_bs01atk_bs01_surprize_sword_03
0x141348780	EXE5p_bs01atk_bs01_surprize_sword_04
0x1413489F0	EXE5p_bs01atk_bs01_surprize_sword_05
0x141348CD0	EXE5p_bs01atk_bs01_surprize_sword_06
0x141349050	EXE5p_bs01atk_bs01_surprize_sword_07
0x141349290	EXE5p_bs01atk__bs01_surprize_sword_shift_pos_check
0x141349480	EXE5p_bs01atk__bs01_wide_sword_shift_pos_check
0x141349560	EXE5p_bs01atk__bs01_wide_sword_shift_pos_check_normal
0x141349740	EXE5p_bs01atk__bs01_wide_sword_shift_pos_check_blind_conf
0x141349A20	EXE5p_bs01atk__bs01_wide_sword_atari_set
0x141349A50	EXE5p_bs01atk__bs01_surprize_sword_atari_set
0x141349E70	EXE5p_bs01atk__bs01_fighter_sword_atari_set
0x14134A290	EXE5p_bs01atk_Bs01AtkDeltaLayEdge
0x14134A380	EXE5p_bs01atk_bs01_delta_lay_edge_00
0x14134A650	EXE5p_bs01atk_bs01_delta_lay_edge_01
0x14134AAF0	EXE5p_bs01atk_bs01_delta_lay_edge_02
0x14134ACF0	EXE5p_bs01atk_bs01_delta_lay_edge_03
0x14134AF20	EXE5p_bs01atk_bs01_delta_lay_edge_04
0x14134B2C0	EXE5p_bs01atk_bs01_delta_lay_edge_05
0x14134B520	EXE5p_bs01atk_bs01_delta_lay_edge_06
