0x1e4f8	EXE3_blocksub1_RandomMoveBlockGet2
0x1e500	EXE3_blocksub1_RandomMoveBlockGet3
0x1e508	EXE3_blocksub1_PlLineBlockGet
0x1e510	EXE3_blocksub1_CalcFrontOtherBlock
0x1e530	EXE3_blocksub1_CalcFrontOtherBlock2
0x1e548	EXE3_blocksub1_CheckAllBlockTop
0x1e550	EXE3_blocksub1_CheckEmLineHead
0x1e558	EXE3_blocksub1_CheckAllBlockLast
0x1e560	EXE3_blocksub1_CheckLineLast
0x1e568	EXE3_blocksub1_CheckAllLineHead
0x1e570	EXE3_blocksub1_CheckLineHead
0x1e580	EXE3_blocksub1_CheckLine
0x1e588	EXE3_blocksub1_CountBombSetPos
0x1e5c0	EXE3_blocksub1_CheckCoverEm
0x1e5d0	EXE3_blocksub1_BlockBackEndGet
0x1e5d8	EXE3_blocksub1_BlockRightEndAllGet
0x1e5e0	EXE3_blocksub1_BlockLeftEndAllGet
0x1e5e8	EXE3_blocksub1_BlockBackEndGet2
0x1e5f0	EXE3_blocksub1_BlockLeftEndAllGet2
0x1e5f8	EXE3_blocksub1_BlockLeftEndLineGet2
0x1e600	EXE3_blocksub1_BlockRightEndAllGet2
0x1e608	EXE3_blocksub1_BlockRightEndLineGet2
0x1e610	EXE3_blocksub1_BlockLineBackEndGet
0x1e618	EXE3_blocksub1_BlockMoveCheck
0x1e620	EXE3_blocksub1_BlockAllCheckY
0x1e628	EXE3_blocksub1_CodeToBlock
0x1e630	EXE3_blocksub1_BlockToCode
0x1e638	EXE3_blocksub1_BlockExistCheck
0x1e640	EXE3_blocksub1_BlockTypeNumGet
0x1e648	EXE3_blocksub1_BlockTypeExceptNumGet
0x1e650	EXE3_blocksubw_BlockWorkRefreshAllWram
0x1e658	EXE3_blocksubw_BlockWorkRefreshWram
0x1e698	EXE3_blocksubw_BattleHitStatusCheck
0x1e6a8	EXE3_blocksubw_BattleHitBuffAddSubWram
0x1e6b8	EXE3_blocksubw_BattleHitBuffDelSubWram
0x1e6c8	EXE3_blocksubw_BlockChangeAttrCheckWram
0x1e6d8	EXE3_blocksubw_BlockStatusSetWram
0x1e6e0	EXE3_blocksubw_BlockStatusGetWram
0x1e6e8	EXE3_blocksubw_BlockStatusOnWram
0x1e6f8	EXE3_blocksubw_BattleHitCheckBlock_subWram
0x1e708	EXE3_blocksubw_inv_attr_checkWram
0x1e710	EXE3_blocksubw_shadow_attr_checkWram
0x1e718	EXE3_blocksubw_under_attr_checkWram
0x1e720	EXE3_blocksubw_BattleHitAllSetWram
0x1f330	EXE3_bscomm_BsCommonPalsy
0x1f348	EXE3_bscomm_BsCommonPalsy_00
0x1f350	EXE3_bscomm_BsCommonPalsy_01
0x1f360	EXE3_bscomm_BsCommonIvy
0x1f378	EXE3_bscomm_BsCommonIvy_00
0x1f380	EXE3_bscomm_BsCommonIvy_01
0x1f390	EXE3_bscomm_BsCommonPush
0x1f3a8	EXE3_bscomm_BsCommonPush_00
0x1f3b8	EXE3_bscomm_BsCommonPush_01
0x1f3c8	EXE3_bscomm_BsCommonPush_02
0x1f3d0	EXE3_bscomm_BsCommonStagger
0x1f3e8	EXE3_bscomm_BsCommonStagger_00
0x1f3f8	EXE3_bscomm_BsCommonStagger_01
0x1f400	EXE3_bscomm_BsV3DeleteFlagOn
0x1f458	EXE3_btlbug_BattleBugCheck
0x1f468	EXE3_btlbug_CustomHpDownBugCheck
0x1f470	EXE3_btlbug_custom_hp_down_sub
0x1f478	EXE3_btlbug_NormalPanelChangeBugCheck
0x1f480	EXE3_btlbug_panel_change_sub
0x1f488	EXE3_btlbug_CustomGaugeSpeedCheck
0x1f490	EXE3_btlbug_CardOpenNumBugCheck
0x1f498	EXE3_btlev00_BattleEvent00Move
0x1f4b8	EXE3_btlev00_event00_init
0x1f4c0	EXE3_btlev00_event00_move_00
0x1f4e0	EXE3_btlev00_event00_move_01
0x1f4e8	EXE3_btlev00_event00_exit
0x1f4f0	EXE3_btlev01_BattleEvent01Move
0x1f510	EXE3_btlev01_btlev01_init
0x1f528	EXE3_btlev01_btlev01_move
0x1f548	EXE3_btlev01_btlev01_move00
0x1f550	EXE3_btlev01_btlev01_move01
0x1f560	EXE3_btlev01_btlev01_move02
0x1f568	EXE3_btlev01_btlev01_move03
0x1f570	EXE3_btlev01_btlev01_move04
0x1f578	EXE3_btlev01_btlev01_exit
0x1f580	EXE3_btlev01_btlev01_exit2
0x1f588	EXE3_btlev02_BattleEvent02Move
0x1f5a0	EXE3_btlev02_btlev02_init
0x1f5a8	EXE3_btlev02_btlev02_move
0x1f5c0	EXE3_btlev02_btlev02_move00
0x1f5c8	EXE3_btlev02_btlev02_move01
0x1f5d0	EXE3_btlev02_btlev02_exit
0x1f5d8	EXE3_btlev03_BattleEvent03Move
0x1f5f8	EXE3_btlev03_event03_init
0x1f600	EXE3_btlev03_event03_move_00
0x1f618	EXE3_btlev03_event03_move_01
0x1f620	EXE3_btlev03_event03_exit
0x1f628	EXE3_btlev04_BattleEvent04Move
0x1f640	EXE3_btlev04_event04_init
0x1f660	EXE3_btlev04_event04_move
0x1f678	EXE3_btlev04_event04_telop
0x1f680	EXE3_btlev04_event04_efc
0x1f688	EXE3_btlev04_event04_fade
0x1f690	EXE3_btlev04_event04_exit
0x1f698	EXE3_btlev05_BattleEvent05Move
0x1f6b0	EXE3_btlev05_event05_init
0x1f6b8	EXE3_btlev05_event05_move
0x1f6d0	EXE3_btlev05_event05_appear
0x1f6d8	EXE3_btlev05_event05_set
0x1f6e8	EXE3_btlev05_event05_fade
