0x249a8	EXE4_bgefc0d_BgEfc0dMove
0x249c8	EXE4_bgefc0d_BgEfc0dStop
0x249d0	EXE4_bgefc0d_bgefc0d_init
0x249f8	EXE4_bgefc0d_bgefc0d_entry
0x24a00	EXE4_bgefc0d_bgefc0d_main
0x24a28	EXE4_bgefc0d_bgefc0d_exit
0x24a30	EXE4_bgefc0d_bgefc0d_disp_sub
0x24a40	EXE4_bgefc0d_bgefc0d_se_call
0x24a50	EXE4_bgefc_sub_BgEfcPrint2
0x24a58	EXE4_bgefc_sub_BgEfcPrint
0x24a70	EXE4_bgtrans_BgCharInit
0x24a88	EXE4_bgtrans_BgCharInitBattle
0x24a90	EXE4_bgtrans_BgCharSet
0x24aa8	EXE4_bgtrans_BgScrollCharUncomp
0x24ab0	EXE4_bgtrans_BgScrollCharSet
0x24ac0	EXE4_bgtrans_BgCharMove
0x24ad0	EXE4_bgtrans_local_GetBgScrnDataField
0x24ad8	EXE4_bgtrans_local_PutBgScrnDataField
0x24ae0	EXE4_bgtrans_local_PutBgScrnDataBattle
0x24ae8	EXE4_bgtrans_local_PutBgScrnDataField_2
0x24af0	EXE4_bgtrans_local_PutBgScrnDataField_3
0x24af8	EXE4_bgtrans_local_BgScrnDataTransXsub
0x24b00	EXE4_bgtrans_local_BgScrnDataTransXadd
0x24b08	EXE4_bgtrans_local_BgScrnDataTransYsub
0x24b10	EXE4_bgtrans_local_BgScrnDataTransYadd
0x24b18	EXE4_bgtrans2_local_BgScrnInit
0x24b20	EXE4_bgtrans2_local_BgScrnInitAll
0x24b28	EXE4_bgtrans2_local_BgScrnInitAll_2
0x24b30	EXE4_bgtrans2_local_BgScrnInitAll_3
0x24b50	EXE4_bgwram_local_BgPrintXYLimitWram
0x24b58	EXE4_bgwram_local_BgPrintXYLimitWramByte
0x24b60	EXE4_bgwram_local_BgClearXYLimitWram
0x24b68	EXE4_bgwram_local_BgClearXYLimitWramByte
0x24b70	EXE4_bgwram_local_ColFadeTransWram
0x24b90	EXE4_bgwram_add_blend
0x24b98	EXE4_bgwram_sub_blend
0x24ba0	EXE4_bgwram_local_ColFadeTransWram2
0x24bc0	EXE4_bgwram_add_blend2
0x24bc8	EXE4_bgwram_sub_blend2
0x24bd0	EXE4_bg_sub_BgPrint
0x24bd8	EXE4_bg_sub_BgPrintXYLimit
0x24be0	EXE4_bg_sub_BgPrintXYLimitByte
0x24bf0	EXE4_bg_sub_BgClearXYLimit
0x24bf8	EXE4_bg_sub_BgClearXYLimitByte
0x24c08	EXE4_bg_sub_BgPrintXLoop
0x24c10	EXE4_bg_sub_BgPrintYLoop
0x24c18	EXE4_bg_sub2_BgScrollProcSet
0x24c20	EXE4_bg_sub2_BgScrollProcReset
0x24c30	EXE4_bg_sub2_BgScrollProc
0x24c38	EXE4_bg_sub2_BgScrollProcVBlank
0x24c48	EXE4_bg_sub2_Type00VBlank
0x24c50	EXE4_bg_sub2_Type01VBlank
0x24c58	EXE4_bg_sub2_Type01VBlank2
0x24c60	EXE4_bg_sub2_Type02VBlank
0x24c68	EXE4_bg_sub2_Type02VBlank2
0x24c70	EXE4_bg_sub2_Type03VBlank
0x24c78	EXE4_bg_sub2_Type03VBlank2
0x24c80	EXE4_bg_sub2_Type04VBlank
0x24c88	EXE4_bg_sub2_Type05VBlank
0x24c90	EXE4_bg_sub2_Type05VBlank2
0x24c98	EXE4_bg_sub2_Type06VBlank
0x24ca8	EXE4_bg_sub2_TypeXXDummy
0x24cb0	EXE4_block_BlockTransInit
0x24ce0	EXE4_block_block_work_init
0x24cf0	EXE4_block_block_work_clear
0x24d28	EXE4_block_BlockMove
0x24d38	EXE4_block_BlockTrans
0x24d68	EXE4_block_BlockTransSub
0x24db0	EXE4_block_BlockTransSubFlash
0x24dc0	EXE4_block_BlockTransSubEdge
0x24dc8	EXE4_block_BlockTransSubNoEdge
0x24df8	EXE4_block_BlockColorTrans
0x24f00	EXE4_block_block_check_sub
0x24f28	EXE4_block_block_area_stile_check
0x24f58	EXE4_block_BlockDirectTrans
0x24f70	EXE4_block_BlockFlashFlagClear
0x24f80	EXE4_blocksubw_BlockWorkRefreshAllWram
0x24f88	EXE4_blocksubw_BlockWorkRefreshWram
0x24fc8	EXE4_blocksubw_BlockAdrsGetWram
0x24fd8	EXE4_blocksubw_BattleHitStatusCheckWram
0x24fe8	EXE4_block_sub_BlockWorkInit
0x24ff0	EXE4_block_sub_BlockStatusSet
0x24ff8	EXE4_block_sub_BlockStatusGet
0x25000	EXE4_block_sub_BlockStatusOn
0x25008	EXE4_block_sub_BlockStatusOff
0x25010	EXE4_block_sub_BlockAdrsGet
0x25020	EXE4_block_sub_BlockWorkRefreshAll
0x25030	EXE4_block_sub_BlockWorkRefresh
0x25040	EXE4_block_sub_BlockCrackSet
0x25058	EXE4_block_sub_BlockCrackSet2
0x25070	EXE4_block_sub_BlockOutSet
0x25080	EXE4_block_sub_BlockOutSet2
0x25098	EXE4_block_sub_BlockOutSet3
0x250b0	EXE4_block_sub_BlockOutSet4
0x250c8	EXE4_block_sub_BlockOutSet5
0x250e0	EXE4_block_sub_BlockPoisonSet
0x250f0	EXE4_block_sub_BlockFlash
0x25100	EXE4_block_sub_BlockTypeChange
0x25108	EXE4_block_sub_BlockTypeChangeNormalOnly
0x25110	EXE4_block_sub_BlockPlEmChange
